stock_code,sector
006110,1차 비철금속 제조업
000070,기타산업군
010960,기반조성 및 시설물 축조관련 전문공사업
004450,기타 금속 가공제품 제조업
004490,일차전지 및 이차전지 제조업
001430,1차 철강 제조업
306200,1차 철강 제조업
019440,1차 철강 제조업
004970,어로 어업
035510,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
001780,1차 비철금속 제조업
036570,소프트웨어 개발 및 공급업
900140,자동차 판매업
111770,상품 종합 도매업
012280,자동차 신품 부품 제조업
007310,기타 식품 제조업
072130,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
023810,자동차 신품 부품 제조업
015860,기타산업군
317400,부동산 임대 및 공급업
079900,특수 목적용 기계 제조업
002620,회사 본부 및 경영 컨설팅 서비스업
013890,가구 제조업
013870,자동차 신품 부품 제조업
007810,전자부품 제조업
002020,지주회사
284740,개인 및 가정용품 임대업
015890,기초 화학물질 제조업
003240,화학섬유 제조업
005690,기초 의약물질 제조업
058430,1차 철강 제조업
039130,여행사 및 기타 여행보조 서비스업
010040,"내화, 비내화 요업제품 제조업"
025540,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
023350,"건축기술, 엔지니어링 및 관련 기술 서비스업"
016450,봉제의복 제조업
001750,금융 지원 서비스업
006390,"시멘트, 석회, 플라스터 및 그 제품 제조업"
003480,연료용 가스 제조 및 배관공급업
101530,기타 식품 제조업
004310,의약품 제조업
011760,상품 종합 도매업
111110,봉제의복 제조업
008770,기타 상품 전문 소매업
298020,화학섬유 제조업
083450,특수 목적용 기계 제조업
440290,기타산업군
278650,자연과학 및 공학 연구개발업
327260,전자부품 제조업
040300,"영화, 비디오물, 방송프로그램 제작 및 배급업"
051390,상품 종합 도매업
198440,"시멘트, 석회, 플라스터 및 그 제품 제조업"
049720,기타 사업지원 서비스업
098460,특수 목적용 기계 제조업
137940,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
048470,기타 전문 도매업
020180,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
048910,기타 전문 도매업
003310,동물용 사료 및 조제식품 제조업
067080,의약품 제조업
090410,"구조용 금속제품, 탱크 및 증기발생기 제조업"
131970,"그외 기타 전문, 과학 및 기술 서비스업"
030350,소프트웨어 개발 및 공급업
196490,특수 목적용 기계 제조업
033130,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
131180,컴퓨터 및 주변장치 제조업
223310,상품 종합 도매업
171120,기타 화학제품 제조업
042500,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
059090,반도체 제조업
064480,소프트웨어 개발 및 공급업
335890,의료용 기기 제조업
065450,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
014970,"골판지, 종이 상자 및 종이용기 제조업"
437730,자동차 신품 부품 제조업
089980,플라스틱제품 제조업
019770,특수 목적용 기계 제조업
458650,일차전지 및 이차전지 제조업
100700,의료용품 및 기타 의약 관련제품 제조업
024830,자동차 신품 부품 제조업
039310,소프트웨어 개발 및 공급업
252500,기타 화학제품 제조업
