stock_code,rcept_dt,n_days
011370,2020-03-06,21
011370,2021-03-11,21
011370,2022-03-11,21
011370,2023-03-10,21
011370,2024-03-11,21
011370,2024-04-11,21
011370,2024-04-17,21
011370,2025-03-07,21
011390,2015-02-27,21
011390,2016-02-25,21
011390,2017-02-23,21
011390,2018-02-27,21
011390,2019-03-04,21
011390,2020-03-03,21
011390,2021-03-03,21
011390,2022-03-02,21
011390,2023-02-28,21
011390,2024-02-29,21
011390,2025-02-27,21
011500,2014-02-24,21
011500,2015-02-25,21
011500,2016-02-22,21
011500,2017-03-03,21
011500,2018-03-05,21
011500,2019-02-22,21
011500,2020-02-25,21
011500,2021-03-04,21
011500,2022-03-03,21
011500,2023-02-24,21
011500,2024-02-28,21
011500,2025-03-04,21
011560,2014-02-24,21
011560,2015-02-25,21
011560,2016-02-25,21
011560,2017-02-27,21
011560,2018-02-19,21
011560,2019-02-25,21
011560,2020-02-26,21
011560,2021-03-02,21
011560,2022-03-02,21
011560,2023-02-28,21
011560,2024-02-28,21
011560,2025-02-21,21
011700,2014-03-05,21
011700,2015-03-02,21
011700,2016-03-07,21
011700,2017-02-03,21
011700,2018-02-28,21
011700,2019-03-06,21
011700,2020-03-06,21
011700,2021-03-12,21
011700,2022-03-14,21
011700,2023-03-13,21
011700,2024-03-13,21
011700,2025-03-14,21
011760,2014-03-05,21
011760,2015-03-03,21
011760,2016-03-04,21
011760,2017-03-03,21
011760,2018-02-08,21
011760,2019-02-01,21
011760,2020-02-06,21
011760,2021-02-09,21
011760,2022-02-08,21
011760,2023-02-09,21
011760,2024-02-05,21
011760,2025-02-10,21
011780,2014-02-05,21
011780,2015-02-04,21
011780,2016-02-04,21
011780,2017-02-02,21
011780,2018-02-01,21
011780,2019-02-01,21
011780,2020-01-30,21
011780,2021-03-09,21
011780,2021-03-10,21
011780,2022-03-08,21
011780,2023-03-08,21
011780,2024-03-06,21
011780,2025-03-06,21
011790,2014-02-06,21
011790,2015-02-05,21
011790,2016-02-03,21
011790,2017-02-09,21
011790,2018-02-05,21
011790,2019-01-31,21
011790,2020-02-03,21
011790,2021-02-03,21
011790,2022-02-08,21
011790,2023-02-06,21
012160,2014-02-19,21
012160,2014-12-11,21
012160,2015-02-26,21
012160,2016-02-25,21
012160,2017-02-23,21
012160,2018-02-22,21
012160,2019-02-25,21
012160,2020-02-24,21
012160,2021-02-22,21
012200,2014-02-24,21
012200,2015-02-24,21
012200,2016-02-24,21
012200,2017-02-24,21
012200,2018-02-22,21
012200,2019-02-26,21
012200,2020-02-27,21
012200,2021-02-26,21
012200,2022-03-16,21
012200,2023-02-24,21
012200,2024-02-23,21
012280,2014-02-07,21
012280,2014-12-12,21
012280,2015-08-07,21
012280,2016-02-01,21
012280,2017-02-24,21
012280,2018-02-12,21
012280,2021-03-09,21
012280,2024-02-27,21
012280,2025-02-24,21
012280,2025-03-05,21
012320,2014-02-19,21
012320,2015-02-23,21
012320,2016-02-24,21
012320,2017-02-24,21
012320,2018-02-22,21
012320,2019-02-26,21
012320,2020-02-25,21
012320,2021-02-26,21
012320,2022-02-28,21
012320,2025-03-12,21
012450,2014-01-28,21
012450,2016-02-19,21
012450,2021-02-26,21
012450,2022-02-25,21
012450,2022-03-02,21
012450,2023-02-24,21
012450,2024-02-23,21
012450,2025-02-24,21
012510,2014-02-12,21
012510,2015-02-09,21
012510,2016-01-25,21
012510,2017-02-01,21
012510,2018-01-24,21
012510,2019-01-29,21
012510,2020-02-03,21
012510,2021-02-02,21
012510,2022-02-09,21
012510,2023-02-03,21
012510,2024-02-06,21
012510,2025-02-06,21
012510,2025-03-31,21
012610,2014-02-05,21
012610,2015-02-05,21
012610,2016-02-16,21
012610,2017-02-14,21
012610,2018-02-14,21
012610,2019-02-13,21
012610,2020-02-18,21
012610,2021-02-16,21
012610,2022-02-16,21
012610,2023-02-09,21
012610,2024-02-14,21
012610,2025-02-12,21
012620,2014-02-26,21
012620,2015-03-02,21
012620,2016-03-03,21
012620,2017-02-23,21
012620,2018-02-27,21
012620,2019-02-25,21
012620,2020-02-25,21
012620,2021-03-08,21
012620,2022-02-16,21
012620,2022-04-06,21
012620,2023-02-20,21
012620,2024-02-20,21
012620,2025-02-24,21
012630,2014-02-28,21
012630,2015-02-25,21
012630,2016-03-03,21
012630,2017-02-24,21
012630,2018-01-30,21
012630,2019-03-06,21
012630,2020-02-28,21
012630,2020-04-01,21
012630,2021-03-03,21
012630,2023-03-06,21
012630,2024-02-26,21
012630,2025-02-21,21
012690,2016-02-23,21
012690,2017-03-03,21
012690,2018-03-07,21
012690,2019-03-06,21
012690,2020-03-10,21
012690,2021-03-10,21
012690,2023-03-10,21
012690,2023-08-10,21
012690,2024-02-23,21
012700,2013-07-04,21
012700,2014-02-18,21
012700,2014-07-04,21
012700,2015-02-11,21
012700,2015-07-23,21
012700,2016-03-10,21
012700,2016-03-11,21
012700,2016-07-14,21
012700,2017-02-17,21
012700,2017-07-14,21
012700,2018-03-07,21
012700,2018-07-13,21
012700,2019-03-14,21
012700,2019-07-18,21
012700,2020-03-12,21
012700,2020-07-24,21
012700,2021-03-11,21
012700,2021-07-26,21
012700,2022-03-10,21
012700,2022-08-02,21
012700,2023-03-14,21
012700,2024-03-07,21
012700,2025-03-07,21
012750,2014-01-23,21
012750,2015-01-26,21
012750,2016-01-27,21
012750,2017-01-25,21
012750,2018-01-25,21
012750,2019-01-28,21
012750,2020-01-31,21
012750,2021-01-27,21
012750,2022-01-28,21
012750,2023-01-31,21
012750,2024-01-26,21
012750,2025-01-24,21
012790,2014-02-28,21
012790,2015-02-05,21
012790,2016-02-04,21
012790,2017-02-09,21
012790,2018-02-12,21
012790,2019-02-25,21
012790,2020-02-11,21
012790,2020-12-14,21
012790,2020-12-29,21
012790,2021-12-20,21
012790,2021-12-29,21
012790,2022-12-19,21
012790,2023-02-07,21
012790,2024-03-05,21
012790,2025-03-04,21
012800,2018-02-07,21
012800,2019-02-25,21
012800,2020-03-06,21
012800,2022-02-25,21
012860,2014-03-06,21
012860,2015-03-03,21
012860,2016-03-03,21
012860,2017-02-28,21
012860,2018-03-09,21
012860,2019-03-07,21
012860,2023-03-10,21
013030,2014-02-11,21
013030,2015-02-12,21
013030,2016-02-12,21
013030,2017-02-08,21
013030,2018-02-07,21
013030,2019-02-11,21
013030,2020-02-14,21
013030,2021-02-19,21
013030,2022-02-18,21
013030,2022-04-07,21
013030,2023-02-17,21
013030,2024-02-21,21
013030,2025-02-21,21
013120,2014-03-05,21
013120,2015-02-11,21
013120,2016-02-11,21
013120,2017-02-02,21
013120,2017-03-02,21
013120,2018-02-07,21
013120,2019-02-07,21
013120,2020-02-12,21
013120,2021-02-08,21
013120,2022-02-09,21
013120,2023-02-15,21
013120,2024-02-15,21
013120,2025-02-13,21
013360,2014-03-06,21
013360,2017-02-24,21
013360,2020-03-04,21
013360,2021-03-03,21
013360,2022-02-25,21
013360,2023-02-14,21
013520,2014-03-11,21
013520,2015-03-11,21
013520,2016-03-10,21
013520,2017-03-08,21
013520,2018-03-08,21
013520,2019-03-12,21
013520,2020-03-10,21
013520,2021-03-15,21
013520,2022-03-14,21
013520,2023-03-14,21
013520,2024-03-13,21
013520,2025-03-14,21
013570,2014-01-28,21
013570,2015-02-04,21
013570,2016-02-03,21
013570,2020-02-12,21
013570,2022-02-08,21
013570,2025-02-05,21
013580,2019-02-11,21
013580,2020-02-05,21
013580,2021-02-08,21
013580,2022-02-10,21
013580,2023-02-13,21
013580,2024-02-06,21
013580,2025-02-11,21
013720,2014-02-05,21
013720,2015-02-09,21
013720,2016-01-26,21
013810,2015-12-17,21
013810,2016-01-04,21
013810,2021-02-04,21
013810,2022-02-04,21
013810,2022-02-25,21
013810,2022-04-07,21
013870,2014-03-13,21
013870,2015-03-12,21
013870,2016-03-15,21
013870,2017-03-16,21
013870,2018-03-13,21
013870,2019-03-07,21
013870,2020-03-12,21
013870,2022-03-16,21
013870,2023-03-16,21
013870,2024-03-07,21
013870,2025-03-13,21
013990,2014-02-06,21
014100,2016-03-07,21
014280,2014-02-06,21
014280,2015-02-12,21
014280,2016-02-11,21
014280,2017-02-09,21
014280,2018-02-08,21
014280,2019-02-14,21
014280,2020-02-27,21
014280,2021-02-24,21
014280,2022-02-23,21
014280,2023-02-20,21
014280,2024-02-20,21
014280,2025-02-20,21
014440,2014-02-03,21
014440,2015-02-13,21
014440,2016-02-17,21
014440,2017-02-16,21
014440,2018-02-14,21
014440,2019-02-15,21
014440,2020-02-12,21
014440,2021-02-10,21
014440,2022-02-16,21
014440,2023-02-21,21
014440,2024-01-22,21
014440,2025-01-22,21
014530,2014-03-06,21
014530,2015-03-12,21
014530,2016-03-07,21
014530,2017-03-06,21
014530,2018-03-08,21
014530,2019-03-13,21
014530,2020-03-10,21
014530,2021-03-15,21
014530,2022-03-16,21
014530,2023-03-16,21
014530,2024-03-14,21
014530,2025-03-13,21
014570,2014-03-04,21
014570,2015-02-27,21
014570,2016-02-23,21
014570,2017-03-08,21
014570,2018-02-27,21
014570,2019-03-05,21
014570,2020-02-26,21
014570,2021-02-24,21
014570,2022-02-22,21
014570,2022-04-06,21
014570,2023-02-21,21
014570,2024-02-27,21
014570,2025-02-25,21
014580,2014-02-06,21
014580,2015-01-29,21
014580,2016-02-01,21
014580,2017-01-23,21
014580,2018-01-29,21
014580,2019-02-07,21
014580,2020-02-10,21
014580,2021-02-05,21
014580,2022-02-03,21
014580,2023-02-02,21
014580,2024-02-05,21
014580,2025-02-03,21
014620,2014-03-11,21
014620,2015-03-09,21
014620,2016-03-10,21
014620,2017-03-10,21
014620,2017-12-26,21
014620,2018-01-08,21
014620,2019-02-25,21
014620,2020-02-28,21
014620,2021-02-25,21
014620,2022-02-24,21
014620,2023-02-24,21
014620,2024-02-26,21
014620,2025-02-26,21
014680,2014-02-14,21
014680,2015-02-06,21
014680,2016-02-05,21
014680,2017-02-10,21
014680,2018-02-08,21
014680,2019-02-08,21
014680,2020-02-11,21
014680,2021-02-05,21
014680,2022-02-11,21
014680,2023-02-16,21
014680,2024-02-13,21
014680,2025-02-11,21
014710,2017-03-21,21
014710,2018-02-19,21
014710,2019-02-26,21
014710,2022-02-23,21
014710,2023-02-22,21
014790,2018-02-08,21
014790,2021-02-04,21
