stock_code,rcept_dt,sector,per_share_common,yield_common,total_amount,div_amount_rank,month,is_year_end
38070,2023-03-06,,130.0,1.03,1062495720.0,0.45180722891566266,3,0
38070,2022-02-17,,100.0,0.47,798488700.0,0.31436699857752487,2,0
38070,2021-02-26,,100.0,0.76,769160400.0,0.34108527131782945,2,0
38070,2020-02-18,,100.0,1.09,721154200.0,0.3652173913043478,2,0
38070,2019-02-25,,100.0,0.96,689105300.0,0.3763440860215054,2,0
38070,2018-02-20,,100.0,0.65,644312300.0,0.3559577677224736,2,0
38070,2017-02-23,,130.0,0.8,775742370.0,0.47163695299837927,2,0
38070,2016-02-25,,130.0,0.8,737128860.0,0.48559322033898306,2,0
38070,2015-02-24,,130.0,1.5,675922520.0,0.4953271028037383,2,0
38070,2014-02-25,,130.0,1.2,650000000.0,0.5121951219512195,2,0
38070,2013-02-21,,130.0,1.2,598000000.0,0.4972627737226277,2,0
183190,2024-11-12,"시멘트, 석회, 플라스터 및 그 제품 제조업",35.0,0.32,1309095585.0,0.1111111111111111,11,0
183190,2025-02-26,"시멘트, 석회, 플라스터 및 그 제품 제조업",225.0,2.15,8346496275.0,0.5400739827373613,2,0
183190,2024-02-28,"시멘트, 석회, 플라스터 및 그 제품 제조업",225.0,2.12,8580375000.0,0.5721716514954487,2,0
183190,2023-11-06,"시멘트, 석회, 플라스터 및 그 제품 제조업",30.0,0.28,1153264470.0,0.08333333333333333,11,0
183190,2023-02-28,"시멘트, 석회, 플라스터 및 그 제품 제조업",225.0,2.32,8762584500.0,0.550414364640884,2,0
183190,2021-02-26,"시멘트, 석회, 플라스터 및 그 제품 제조업",1250.0,1.73,4868102500.0,0.9023255813953488,2,0
183190,2022-02-25,"시멘트, 석회, 플라스터 및 그 제품 제조업",2250.0,1.83,8762584500.0,0.938122332859175,2,0
183190,2020-02-26,"시멘트, 석회, 플라스터 및 그 제품 제조업",1500.0,1.97,5841723000.0,0.9260869565217391,2,0
183190,2018-02-26,"시멘트, 석회, 플라스터 및 그 제품 제조업",1500.0,1.3,4941723000.0,0.9230769230769231,2,0
183190,2019-02-26,"시멘트, 석회, 플라스터 및 그 제품 제조업",1500.0,1.45,5841723000.0,0.9331797235023042,2,0
183190,2016-03-10,"시멘트, 석회, 플라스터 및 그 제품 제조업",1500.0,1.49,4941723000.0,0.9468599033816425,3,0
183190,2017-02-24,"시멘트, 석회, 플라스터 및 그 제품 제조업",1500.0,2.09,4941723000.0,0.9270664505672609,2,0
183190,2015-03-05,"시멘트, 석회, 플라스터 및 그 제품 제조업",1500.0,1.34,4941723000.0,0.9507042253521126,3,0
8770,2024-01-26,,200.0,0.3,7607742200.0,0.36875,1,0
183190,2014-03-03,"시멘트, 석회, 플라스터 및 그 제품 제조업",1250.0,1.52,4118102500.0,0.9343434343434344,3,0
8770,2022-01-28,,200.0,0.3,7607742200.0,0.3028169014084507,1,0
8770,2023-01-27,,200.0,0.2,7607742200.0,0.27358490566037735,1,0
